n,en_name,local_name,region
1,Afghanistan,Afghanestan,South-Central Asia
185,Saudi Arabia,Al Arabiyah as Suudiyah,"Arabian Peninsula, Middle East"
17,Bahrain,Al Bahrayn,"Arabian Peninsula, Middle East"
222,United Arab Emirates,Al Imarat al Arabiyah al Muttahidah,"Arabian Peninsula, Middle East"
3,Algeria,Al Jaza'ir,Northern Africa
114,Kuwait,Al Kuwayt,"Middle East, Western Asia"
145,Morocco,Al Maghrib,Northern Africa
107,Jordan,Al Urdun,"Middle East, Western Asia"
235,Yemen,Al Yaman,"Arabian Peninsula, Middle East"
113,Kosovo,"Albanian: : Kosova ou Kosovë, Serbian: Kosovo, Косово",Southern Europe
4,American Samoa,American Samoa,"Polynesia, Oceania"
5,Andorra,Andorra,Southern Europe
6,Angola,Angola,Central Africa
7,Anguilla,Anguilla,"Leeward Islands, Caribbean"
8,Antarctica,Antarctica,Antarctica
9,Antigua and Barbuda,Antigua and Barbuda,"Leeward Islands, Caribbean"
125,Macau,Aomen,Eastern Asia
154,New Zealand,Aotearoa,Oceania; Australia
10,Argentina,Argentina,Southern South America
12,Aruba,Aruba,"Leeward Islands, Caribbean"
234,Western Sahara,Aṣ-Ṣaḥrā’ al-Gharbīyah,Northern Africa
199,Sudan,As-Sudan,Northern Africa
13,Australia,Australia,Australia
15,Azerbaijan,Azarbaycan,"Caucasus, Western Asia"
16,Bahamas,Bahamas,Caribbean
18,Bangladesh,Bangladesh,South-Central Asia
19,Barbados,Barbados,"Lesser Antilles, Caribbean"
163,Palau,Belau,"Micronesia, Oceania"
21,Belgium,Belgique/Belgie,Western Europe
22,Belize,Belize,Central America
23,Benin,Benin,West Africa
24,Bermuda,Bermuda,North America
98,India,Bharat,South-Central Asia
25,Bhutan,Bhutan,South-Central Asia
209,Tibet,Bod,South-Central Asia
26,Bolivia,Bolivia,Central South America
27,Bosnia and Herzegovina,Bosna i Hercegovina,Southern Europe
28,Botswana,Botswana,Southern Africa
29,Brazil,Brasil,Central Eastern South America
31,Bulgaria,Bulgaria,Eastern Europe
32,Burkina Faso,Burkina Faso,West Africa
33,Burundi,Burundi,"Eastern Africa, African Great Lakes"
20,Belarus,Byelarus,Eastern Europe
37,Cape Verde,Cabo Verde,West Africa
35,Cameroon,Cameroon,Central Africa
36,Canada,Canada,North North America
38,Cayman Islands,Cayman Islands,"Greater Antilles, Caribbean"
55,Czech Republic,Ceska Republika,Eastern Europe
41,Chile,Chile,Western South America
111,"Korea, Democratic People's Rep. (North Korea)",Choson,Eastern Asia
43,Christmas Island,Christmas Island,Southeast Asia
44,Cocos (Keeling) Islands,Cocos (Keeling) Islands,"South-East Asia, Australia"
45,Colombia,Colombia,North West South America
46,Comoros,Comores,Eastern Africa
49,Cook Islands,Cook Islands,"Polynesia, Oceania"
50,Costa Rica,Costa Rica,Central America
51,Ivory Coast,Cote d'Ivoire,West Africa
143,Montenegro,Crna Gora,Southern Europe
53,Cuba,Cuba,"Greater Antilles, Caribbean"
56,Denmark,Danmark,Northern Europe
174,Qatar,Dawlat Qatar,"Arabian Peninsula, Middle East"
79,Germany,Deutschland,Western Europe
130,Maldives,Dhivehi Raajje,South-Central Asia
57,Djibouti,Djibouti,Eastern Africa
58,Dominica,Dominica,"Lesser Antilles, Caribbean"
59,Dominican Republic,"Dominicana, Republica","Greater Antilles, Caribbean"
61,Ecuador,Ecuador,North West South America
66,Estonia,Eesti Vabariik,Northern Europe
102,Ireland,Éire,Northern Europe
63,El Salvador,El Salvador,Central America
83,Greece,Ellas or Ellada,Southern Europe
197,Spain,España,Southern Europe
138,Mexico,Estados Unidos Mexicanos,North America
70,Fiji,Fiji,"Melanesia, Oceania"
164,Palestinian territories,Filastin,"Middle East, Western Asia"
69,Faroe Islands,Foroyar,Northern Europe
72,France,France,Western Europe
