group4/q1/a,group4/q1/b,group4/q1/c,group4/q1/d,group4/q1/e,group4/q1/f,group4/q1/g,group4/q1a,group4/q2/a,group4/q2/b,group4/q2/c,group4/q2/d,group4/q2/e,group4/q2/f,group4/q2a,group5/q3,group5/q4,group5/q5,group5/q6,group5/q7,group5/q8,group5/group6/q9,group5/group6/q10,group5/group7/q11,group5/group7/q12,group5/group7/q13,group5/group7/q14,group5/group8/q15,group5/group8/q16,group5/group8/q17,group5/group8/q17a,group5/group8/q18,group5/group8/q19,group5/group8/q20,meta/instanceID,_uuid,_submission_time,_tags,_notes,_version
False,False,False,False,True,False,False,n/a,True,True,True,False,True,False,n/a,c4,d1,e2,f2,"English, Te Reo Maori",d2,It's hard to be taken seriously; I think professional certification would help,Ability to travel to overseas conferences and certification in tobacco treatment.,d1,Very quick and easy for health professionals to grasp,nothing,Perhaps adding gaining certification,56,man,b8,n/a,a22,d1,I live in New Zealand (not Australia) and it wasn't listed on your survey. I'm not sure how you could better serve us.,uuid:abcf06c8-26e4-46d1-9cc7-64ded6092a97,abcf06c8-26e4-46d1-9cc7-64ded6092a97,2014-10-28T07:41:13,,,n/a
True,True,False,True,True,False,False,n/a,True,True,True,True,True,False,n/a,c1,d1,e4,f4,English and French,d2,Lack of centralized database on evidence-based information.  Lack of database on education material or self-learning packages,centralized database.  centralized internet site where any information can be deposited and pulled from.,d1,It comes from one institute so the information is consistent.,"it comes from one institute so when changes occur and updates occur, it is the responsibility of one person or a small group of people and the changes are slow to occur.",Broader repository to pull from and a listserve from various partners across our country and world-wide,56,women,b2,n/a,a45,d1,"Standardize tobacco treatment world-wide.  Pull from institutes that are currently doing it, has best practice in place and may have evidence based data to support.",uuid:6750a867-9809-4ca9-9b8d-e86590fd9eb1,6750a867-9809-4ca9-9b8d-e86590fd9eb1,2014-10-24T18:55:51,,,n/a
True,False,False,False,True,False,False,n/a,True,True,True,True,True,False,n/a,c1,d1,e3,f4,"English, Spanish",d1,"physicain lack of knowledge of evidence based tx, such as combination NRT",not sure,d1,comprehensive and evidence based,nothing,nothing,62,women,b9,"Director of a treatment program, tobacco treatment specialist",a225,d1,n/a,uuid:bbebad4e-952d-4a01-b21a-1298045e404d,bbebad4e-952d-4a01-b21a-1298045e404d,2014-10-24T19:13:56,,,n/a
True,True,False,False,True,False,False,n/a,True,True,False,False,True,False,n/a,c2,d1,e4,f4,English and French,d1,The clients that I work with in inpatient mental health are often on a lower income and struggle to maintain the treatments outside of hospital because they are not funded.,Availability of treatment to clients funded by the government.,d3,"Unsure, as above.","Unsure, as above.","Unsure, as above.",31,women,b9,Occupational therapist,a45,d2,n/a,uuid:595c97be-4245-41db-8fcc-31b5917308fa,595c97be-4245-41db-8fcc-31b5917308fa,2014-10-24T19:17:19,,,n/a
True,True,True,True,True,False,False,n/a,True,True,False,False,False,False,n/a,c5,d1,e4,f5,English,d1,Should always have free medication if needed.,Can't think of any,d1,Up-to-date,Like it,Can't think of how to change,75,man,n/a,n/a,a45,d1,n/a,uuid:bc2784cb-8a40-455a-8aa4-ef5d50eb43af,bc2784cb-8a40-455a-8aa4-ef5d50eb43af,2014-10-24T19:17:39,,,n/a
True,True,False,False,True,False,False,n/a,True,True,True,True,True,False,n/a,c5,d1,e2,f3,local - Czech,d1,No interest because no funding and no dedicated time in clinical settings,ppt slides,d1,"We can write them, endorsed by about 20 medical societies",not big practical impact,funding and dedicated time in clinical settings would endorse practical use,58,women,b8,n/a,a47,d1,Easy standards/messages to b translated into different languages,uuid:c64b46eb-2e4e-4e22-a348-0d66821d366f,c64b46eb-2e4e-4e22-a348-0d66821d366f,2014-10-24T19:22:44,,,n/a
True,True,False,False,True,False,False,n/a,False,True,True,True,False,False,n/a,c5,d1,e3,f4,"Spanish, Haitian Creole, Portuguese",d1,Providers sense of limited time and other priorities than addressing tobacco,better access to NRT for all; better insurance coverage,d1,Evidence base; easily understood; apply to primary health as well as behavioral health,literacy level,more training; more online dissemination,59,women,b9,Program management Addictions training/treatment,a225,d1,n/a,uuid:6d733c5f-4649-4588-931b-a5354b45d1e1,6d733c5f-4649-4588-931b-a5354b45d1e1,2014-10-24T19:33:58,,,n/a
True,True,False,False,True,False,False,n/a,True,True,False,True,True,False,n/a,c2,d1,e3,f4,Spanish,d2,"Lack of interest in prosionals, lack of  financial incetives on enganging in tobacco treatment","Access to medication, acces to on line resources",d1,There are evidence based and are actualized periodically,The format is not completely user friendly,Improve the participation of other specialists in it development,54,man,b1,n/a,a18,d1,"Translate material to spanish, low the fee for being a member, suport local training workshps",uuid:ea42daa1-033c-4006-af7c-5beb9718d8a5,ea42daa1-033c-4006-af7c-5beb9718d8a5,2014-10-24T19:51:41,,,n/a
True,True,False,False,False,False,False,n/a,True,False,False,True,True,False,n/a,c1,d1,e1,f2,French,d2,"agnotology, tobacco lobby,",training about EBM and cost effectivness,d1,the fact they exist,too complicated,"simplifly, tools, and check the implementation +++",61,man,b1,n/a,a76,d2,n/a,uuid:9eff3773-8195-4836-b6f2-8f5ce2fba782,9eff3773-8195-4836-b6f2-8f5ce2fba782,2014-10-24T19:51:50,,,n/a
True,True,True,True,True,False,False,n/a,True,False,False,False,False,False,n/a,c5,d1,e3,f4,"english, spanish, vietnamese,",d1,physician lack of knowledge/training,the above,d1,"guidebook, evidence based",?,additions to risk reduction strategies,61,women,b2,n/a,a225,d1,more continuing education webinars that offer free CEUs or less than $30 for a 1 hr credit,uuid:208a77d6-6023-43ea-b895-7690d19b53c5,208a77d6-6023-43ea-b895-7690d19b53c5,2014-10-24T20:16:57,,,n/a
True,False,True,False,True,False,False,n/a,True,True,False,True,False,False,n/a,c5,d1,e3,f4,spanish,d1,in My country (Argentina) drugs with evidence and  behavioral intervention reimbursement is a mayor barrier,Universal accessibility fort smoking cessation treatment,d1,Evidence based,"Guidelines are disconnected with ""real world"" scenario therefore arise as a barrier for",Natl Gov should adopt them as standard of care in order to increase accesibility for smokers,55,man,b1,n/a,a18,d2,n/a,uuid:73c2b7c9-f8a3-46a7-ba38-c2834534b424,73c2b7c9-f8a3-46a7-ba38-c2834534b424,2014-10-24T20:17:40,,,n/a
