"";"rowname";"group";"prc";"n";"xpos";"ypos";"line.break"
"1";"Very Poor";"X1.High";0,05;6;"1";0,05;"
"
"2";"Poor";"X1.High";0,2;24;"2";0,2;"
"
"3";"Good";"X1.High";0,4583;55;"3";0,4583;"
"
"4";"Very Good";"X1.High";0,2833;34;"4";0,2833;"
"
"5";"No training is available";"X1.High";0,0083;1;"5";0,0083;"
"
"6";"Very Poor";"X2.Upper.middle";0,2667;4;"1";0,2667;"
"
"7";"Poor";"X2.Upper.middle";0,4667;7;"2";0,4667;"
"
"8";"Good";"X2.Upper.middle";0,2667;4;"3";0,2667;"
"
"9";"Very Good";"X2.Upper.middle";0;0;"4";0;"
"
"10";"No training is available";"X2.Upper.middle";0;0;"5";0;"
"
"11";"Very Poor";"X3.Low.Lower.middle";0,3913;9;"1";0,3913;"
"
"12";"Poor";"X3.Low.Lower.middle";0,6087;14;"2";0,6087;"
"
"13";"Good";"X3.Low.Lower.middle";0;0;"3";0;"
"
"14";"Very Good";"X3.Low.Lower.middle";0;0;"4";0;"
"
"15";"No training is available";"X3.Low.Lower.middle";0;0;"5";0;"
"
"16";"Very Poor";"total";0,1203;19;"1";0,1203;"
"
"17";"Poor";"total";0,2848;45;"2";0,2848;"
"
"18";"Good";"total";0,3734;59;"3";0,3734;"
"
"19";"Very Good";"total";0,2152;34;"4";0,2152;"
"
"20";"No training is available";"total";0,0063;1;"5";0,0063;"
"
