"","Freq","en_name","region"
"20",19,"Taiwan (Republic of China)","Eastern Asia"
"23",19,"Australia","Australia"
"26",19,"United States","North America"
"43",11,"Spain","Southern Europe"
"35",8,"Canada","North North America"
"41",7,"Ireland","Northern Europe"
"13",6,"Argentina","Southern South America"
"29",6,"Israel","Middle East, Western Asia"
"4",5,"Egypt","Africa, Middle East"
"7",5,"Nigeria","West Africa"
"32",4,"India","South-Central Asia"
"33",4,"Brazil","Central Eastern South America"
"3",3,"Malaysia","Southeast Asia"
"36",3,"Czech Republic","Eastern Europe"
"37",3,"Chile","Western South America"
"45",3,"Jordan","Middle East, Western Asia"
"1",2,"Jamaica","Greater Antilles, Caribbean"
"12",2,"Uruguay","Central East South America"
"27",2,"Venezuela","Northern South America"
"39",2,"Germany","Western Europe"
"44",2,"France","Western Europe"
"2",1,"Kenya","Eastern Africa"
"5",1,"Antarctica","Antarctica"
"6",1,"Nepal","South-Central Asia"
"8",1,"Pakistan","South-Central Asia"
"9",1,"Peru","Western South America"
"10",1,"Portugal","Southern Europe"
"11",1,"New Zealand","Oceania; Australia"
"14",1,"Georgia","Western Asia"
"15",1,"Oman","Middle East"
"16",1,"Switzerland","Western Europe"
"17",1,"Singapore","Southeast Asia"
"18",1,"Saudi Arabia","Arabian Peninsula, Middle East"
"19",1,"Sweden","Northern Europe"
"21",1,"Sudan","Northern Africa"
"22",1,"Turkey","Southeastern Europe, Western Asia"
"24",1,"Uganda","Eastern Africa"
"25",1,"United Kingdom","Northern Europe"
"28",1,"Vietnam","South-East Asia"
"30",1,"Bangladesh","South-Central Asia"
"31",1,"Belgium","Western Europe"
"34",1,"Burkina Faso","West Africa"
"38",1,"Denmark","Northern Europe"
"40",1,"Ecuador","North West South America"
"42",1,"Greece","Southern Europe"
